Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
value...27	0	0.102996505066699	0	0.273430633525439	0	0.130051474190113	0.0780507527059935	0	0	0	0.231667771367818	0	0.0724427000318565	0	0	0.0732710670778942	0.0440615155864599	0.146991890005003	0	0.133171793797403	0.198552894618314	0	0	0.423160313126938	0.905282102161503	1.48468899797299
value...28	0	0.207585264379901	0	0.0292687236903903	0	0.216558701934432	0	0.0176078219650028	0	0	0.0603526129919982	0	0.0599027156233204	0	0	0.013678880304447	0	0.208298578380641	0	0.104673009284058	0.226254369148661	0	0	0.320933683570043	0.950213222976413	1.14418067770285
value...29	0	0.169078402456305	0	0.0111138361889806	0	0.0766887757393722	0.00616812857529383	0	0	0	0.0659793705278855	0	0.0850276458110405	0	0.00207889132491843	0.0301268598403028	0.0120964249602747	0.189600752098577	0.0443209676400338	0.0488481708145127	0.195738664081727	0	0	0.202594730591689	0.996138150605277	0.936866890059225
value...30	0	0.16902150640581	0.0263612588860811	0.0245329988045739	0	0.0228602431711414	0.0277573094691518	0	0	0	0.144289337070256	0	0.0361737567743154	0	0	0.00431259741216978	0	0.146832247427898	0	0.164150107352491	0.0760032946068436	0	0	0.0858467991216272	1.06361547703678	0.842294657380731
value...31	0	0.194039101820607	0	0.276628398161833	0	0.157760041027655	0.0312135528540022	0.00782532345915525	0	0	0.327209994018151	0	0.0796116153378005	0	0	0.0542124539671874	0	0.192495816219887	0	0.197838896656718	0.138925886278689	0	0	0.51429548107926	0.856320523993153	1.65776107980168
value...32	0	0.30736975711385	0.00168918730252497	0.270806199396288	0	0.136776402004189	0	0	0	0	0.287596200397291	0	0.0684817698265563	0	0	0.0525065808323188	0	0.144102989257803	0	0.112759638286947	0.153716791630559	0	0	0.491877340121832	0.869166022515797	1.53580551604833
value...33	0	0.157547796181795	0.00147503398346202	0.216543407606039	0	0.136374859521798	0	0.00133474461207352	0	0	0.203107583747651	0	0.0823279099941085	0	0	0.0463982343074167	0.00758547561183683	0.093203660029147	0	0.118473220542237	0.0888116407590064	0	0	0.279475420919113	0.981383748018988	1.15318356689657
value...34	0.0623029430160782	0.0658626064164515	0	0.0404599374426775	0	0.125187261970203	0.0210750064732936	0.00208997360428181	0	0	0.0654918122824573	0	0.061439927466673	0	0	0	0.106920358932765	0.208922100778668	0	0.0739995816857531	0.143111256274568	0	0	0.167423562197339	1.00902727503256	0.976862766343871
value...35	0	0.248248260616498	0	0.216171889709356	0	0.160370638250503	0	0	0	0	0.113200908729691	0	0.0947544828196131	0	0	0.0267686400273874	0	0.227302564037202	0	0.140529987077411	0.188532849683863	0	0	0.403280740244108	0.913642730875614	1.41588022095152
value...36	0	0.161683091830193	0	0.307866440621861	0	0.071542059207019	0.039208940838373	0	0	0	0.207672875689349	0.0187730158179061	0.0773492055603948	0	0	0.0342631725052984	0	0.10646016327504	0	0.103152161522243	0.164614212233404	0	0	0.411798596537282	0.914412724396392	1.29258533910108
value...37	0.0323851836439607	0	0.12183859759752	0	0	0.089632681718469	0	0.0257402587991299	0	0	0	0.0442058748062853	0	0	0	0	0	0.257688430293196	0	0.0330203774549947	0.0300325140843037	0	0	0.013701876167459	1.10578406618768	0.63454391839786
value...38	0	0.129461173663951	0	0.321672718479117	0	0.0902756704761128	0.0252086498279952	0	0	0	0.320619496787533	0	0.0900836067115359	0	0	0.0539664570045437	0	0.105654159964448	0	0.11202789241331	0.112486729402053	0	0	0.440212590108834	0.903124850502837	1.3614565547306
value...39	0.0183549949961091	0.0639894783966041	0	0.313661467913748	0	0.0918981854645972	0.052347786969146	0	0	0	0.172102237598327	0	0.0501976988586129	0	0	0.0849561571406108	0.0360586267914432	0.185862492504195	0	0.122375870363525	0.204463978731327	0	0	0.384821164423633	0.92398981561048	1.39626897572825
value...40	0.00428133353242877	0.135267125059125	0	0.288833930636299	0	0.1558400593748	0.0774185380170739	0	0	0	0.109375912642567	0	0.0547170663741319	0	0.00183543660583946	0.0175454491768773	0	0.147067154651179	0	0.0884596791888835	0.195256152262662	0	0	0.395236984940861	0.919760472185159	1.27589783752187
value...41	0.0772448814912844	0.158478547846072	0	0.334826504819025	0	0	0.131119930271055	0	0	0	0.309869817209733	0	0.0359657402112592	0	0	0.0162826736582791	0	0.220694643596204	0	0.078491964202537	0.224127001232923	0	0	0.53085678883986	0.846430946581721	1.58710170453837
value...42	0	0.0382455504290057	0.0810585980307374	0.0334809802749809	0	0.124539477714303	0.00396360666205557	0	0	0	0.0300561854457201	0	0.0369169923976478	0	0	0.0382711868515365	0	0.145316961356843	0.0316387878177508	0.0788701059611932	0.126796872035186	0	0	0.0886860516547576	1.03825862390694	0.76915530497696
value...43	0	0.222812756981304	0	0.101740927509911	0	0.205012404645657	0	0	0	0	0.109274385201602	0	0.0674690496036798	0	0	0.0494289913846315	0	0.150016593027103	0	0.103004708889227	0.142763814636272	0	0	0.317479987082127	0.9528573637017	1.15152363187939
value...44	0	0.192902811145669	0	0.0581357985921312	0	0.134843626049311	0	0.0730775479228321	0	0	0.00550900349930179	0.00772186060529684	0.0833368042149871	0	0	0.0117127845530394	0	0.258241525813016	0	0.129120516978938	0.124160999322429	0	0	0.246443212746834	0.982298092887205	1.07876327869695
value...45	0.015618414000798	0.224652907172419	0	0.405645726717006	0	0.14657218155538	0.0418225995984964	0	0	0	0.343216274279385	0.0039535759572891	0.0563270593293271	0	0	0.0398917126591979	0	0.171625969228491	0	0.0719104173237487	0.199646441774894	0	0	0.542986162508148	0.838780964666395	1.72088327959643
value...46	0	0.177986161331631	0	0.257586437311453	0	0.0677819424879367	0	0.0015982311589012	0	0	0.183802222638991	0	0.0849762057736475	0	0	0.0426882909926496	0	0.154625914162066	0	0.184324859019277	0.140168491342633	0	0	0.37591312957671	0.928874093332437	1.29553875621919
value...47	0.0923228382835212	0	0.126290813973492	0.472594883747711	0	0.150498346880928	0.145862396620938	0.00977576182806082	0	0	0.328904193933615	0.0358182206659236	0.0286782535913982	0	0	0.022330805201717	0	0.0686655417872588	0	0.101189630006257	0.161755771619805	0	0	0.569317837136448	0.821124201272947	1.74468745814063
value...48	0	0.128228130847818	0.0153928325212572	0.289643949786674	0	0.0561167066272575	0	0	0.0357354526765397	0	0.319493366267158	0	0.0514497579401626	0	0	0	0	0.0442440178781475	0	0.0767949495628671	0.125858909943784	0	0	0.396390994926609	0.941146402757145	1.14295807405166
value...49	0	0.112991573777282	0	0.174620707322338	0	0.180985603693208	0.0485737689570191	0	0	0	0.216955321436326	0	0.0491627938996411	0	0	0.0733819102423041	0	0.166724967792209	0	0.127083083705733	0.154538937987656	0	0	0.34229737360531	0.946066937516725	1.30501866881372
value...50	0	0.126462850218185	0.0368304057061068	0	0	0.0867073645148867	0	0.0117808864273033	0.0170401452843981	0	0.0150756499048253	0	0	0	0	0	0	0.196648818639381	0	0.126908096630809	0.124190358499459	0	0	0.0515867541026977	1.07001488053594	0.741644575825354
value...51	0	0.309534851938813	0.014382754530656	0.295273566147298	0	0.3233296752056	0.015851822067791	0	0	0	0.104619258664436	0	0.0898973282498942	0	0	0.0653029137067264	0	0.288495753591573	0	0.128865613869979	0.261541058335608	0	0	0.528708459455933	0.851856097188639	1.89709459630837
value...52	0	0.152607725207503	0.00223372077471065	0.0371020605519122	0	0.208395454926417	0	0.00218025242226204	0	0	0.136192764433544	0	0.0698320015044651	0	0	0.0156014016251852	0	0.125874055396272	0	0.154011993506504	0.0979885258490163	0	0	0.161401478552089	1.02357947570008	1.00201995619779
value...53	0	0.257971166429317	0.0321687827277332	0.375551765840141	0	0.0727370227785632	0.102041013758408	0	0	0	0.327974890966669	0	0.0511342572198209	0	0	0.094892359215756	0.051269062915348	0.181915221416499	0	0.118301661028855	0.277726472667592	0	0	0.547593364809368	0.839086485088298	1.9436836769647
value...54	0	0.20626862791123	0	0.249655409249932	0	0.20953792176897	0.0131571507481176	0	0	0	0.356690769229411	0	0.0947951068781783	0	0	0.0306483985595871	0	0.172443209467708	0	0.182808746313205	0.158029476279681	0	0	0.506640876546713	0.860744875839264	1.67403481640602
value...55	0	0.178099881625421	0.000210112020010017	0.191451920975601	0	0.0697498197631627	0	0.015583353756259	0	0	0.0569789212019081	0	0.0581392860258315	0	0	0.016007776820761	0	0.123322579753602	0	0.136009693436429	0.0960118432727389	0	0	0.149650403414249	1.02955533724819	0.941565188651724
value...56	0	0.194460355782079	0	0.289710863583146	0	0.0832435172116107	0.0818790123625787	0.000729067889526387	0	0	0.100000499838886	0	0.0824541404162848	0	0	0.0467888300578412	0.0359281064086488	0.231207834559412	0	0.123314314681717	0.254170298072909	0	0	0.435157326974263	0.898673488223049	1.52388684086464
value...57	0.0676454354303075	0.126012133884453	0	0.611708764775178	0	0.0357858271472753	0.0755894707873601	0	0	0	0.274934309513952	0	0.0674768666672104	0	0	0.0478001358058488	0	0.154306335221398	0	0.15602576233975	0.20795861020742	0	0	0.510060635985486	0.859182490054901	1.82524365178015
value...58	0	0.168280753868853	0.0131609718264783	0.111232157191686	0	0.247662302748451	0	0.0055463685476865	0	0	0.0900910146514653	0	0.0566222346984401	0	0	0.00815759838960361	0	0.132764230976574	0	0.106501818278572	0.216893238747151	0	0	0.320219489025675	0.953171430054602	1.15691268992496
value...59	0	0.16720073169799	0.02221472439864	0.184276605825355	0	0.246333992591203	0.0072209904660271	0	0	0	0.135497996452606	0	0.0277452788258681	0	0	0.0145161199486448	0	0.137214201688998	0	0.113726072324697	0.173799328576376	0	0	0.310874242826737	0.962129029433743	1.22974604279641
value...60	0	0.234916963171919	0	0.304138430381232	0	0.124075132809493	0	0.0123038845445153	0	0	0.0354718973595538	0	0.049224052409761	0	0.0204775174315894	0	0	0.103684644366983	0	0.0756164743801222	0.166638101823421	0	0	0.327649128252586	0.955552191703774	1.12654709867859
value...61	0	0.159144216636294	0.0105513031268996	0.0953785120206945	0	0.117080490359581	0	0	0.0074998927764623	0	0.0564745082558357	0	0.0473435230955087	0	0	0.00337069382890943	0	0.142564804893438	0	0.13739839787457	0.0840679303004498	0	0	0.0882682921578969	1.05219617968224	0.860874273168643
value...62	0.0033928268700705	0.113891595803326	0.00292267761696281	0.15075335522902	0	0.220655338202514	7.62255365971425e-05	0	0	0	0.101568640862844	0	0.0312783006335817	0	0	0	0	0.181489076729912	0	0.0763501428652298	0.174753611430114	0	0	0.247488277980802	0.991213989952672	1.05713179178017
